iter	Passed	Remaining
1112	71084	567586
1113	71146	567511
1114	71207	567422
1115	71269	567346
1116	71332	567273
1117	71397	567220
1118	71459	567145
1119	71533	567154
1120	71603	567144
1121	71661	567033
1122	71729	567001
1123	71786	566886
1124	71858	566880
1125	71922	566821
1126	71999	566862
1127	72070	566849
1128	72135	566800
1129	72195	566702
1130	72259	566640
1131	72327	566604
1132	72380	566458
1133	72440	566366
1134	72506	566317
1135	72557	566154
1136	72612	566016
1137	72673	565934
1138	72734	565850
1139	72805	565835
1140	72868	565766
1141	72926	565662
1142	72994	565625
1143	73060	565581
1144	73126	565535
1145	73188	565457
1146	73254	565410
1147	73318	565345
1148	73379	565261
1149	73447	565222
1150	73512	565169
1151	73578	565126
1152	73642	565063
1153	73712	565044
1154	73766	564903
1155	73828	564828
1156	73899	564818
1157	73961	564735
1158	74029	564705
1159	74087	564594
1160	74153	564550
1161	74217	564487
1162	74289	564481
1163	74358	564457
1164	74424	564412
1165	74484	564321
1166	74538	564183
1167	74603	564127
1168	74667	564058
1169	74726	563959
1170	74783	563842
1171	74846	563773
1172	74909	563704
1173	74973	563640
1174	75039	563592
1175	75102	563521
1176	75160	563420
1177	75224	563349
1178	75283	563256
1179	75358	563275
1180	75424	563228
1181	75492	563195
1182	75552	563097
1183	75617	563044
1184	75685	563010
1185	75750	562955
1186	75815	562899
1187	75884	562872
1188	75944	562778
1189	76004	562685
1190	76073	562665
1191	76143	562646
1192	76213	562623
1193	76285	562623
1194	76341	562498
1195	76401	562407
1196	76463	562330
1197	76532	562301
1198	76589	562188
1199	76644	562059
1200	76710	562012
1201	76777	561969
1202	76851	561979
1203	76906	561852
1204	76980	561861
1205	77048	561826
1206	77118	561808
1207	77175	561694
1208	77241	561642
1209	77307	561599
1210	77364	561486
1211	77418	561346
1212	77480	561267
1213	77540	561181
1214	77600	561086
1215	77661	560999
1216	77725	560939
1217	77783	560832
1218	77850	560788
1219	77913	560719
1220	77979	560672
1221	78046	560628
1222	78106	560541
1223	78167	560454
1224	78230	560387
1225	78290	560291
1226	78357	560255
1227	78416	560153
1228	78476	560062
1229	78539	559993
1230	78604	559936
1231	78670	559891
1232	78731	559808
1233	78795	559744
1234	78863	559705
1235	78924	559623
1236	78982	559518
1237	79052	559499
1238	79108	559378
1239	79171	559306
1240	79241	559285
1241	79304	559217
1242	79365	559134
1243	79430	559075
1244	79494	559015
1245	79557	558945
1246	79627	558925
1247	79681	558790
1248	79734	558652
1249	79802	558618
1250	79869	558576
1251	79920	558422
1252	79974	558287
1253	80036	558210
1254	80089	558076
1255	80156	558033
1256	80218	557956
1257	80283	557898
1258	80339	557783
1259	80395	557660
1260	80462	557624
1261	80527	557565
1262	80588	557484
1263	80647	557389
1264	80712	557328
1265	80771	557233
1266	80833	557155
1267	80887	557028
1268	80955	556989
1269	81021	556946
1270	81081	556853
1271	81148	556811
1272	81211	556738
1273	81274	556670
1274	81340	556624
1275	81395	556497
1276	81452	556392
1277	81521	556358
1278	81577	556241
1279	81643	556197
1280	81713	556173
1281	81776	556104
1282	81835	556011
1283	81895	555918
1284	81957	555844
1285	82026	555817
1286	82092	555769
1287	82157	555709
1288	82220	555640
1289	82287	555603
1290	82353	555551
1291	82410	555441
1292	82482	555436
1293	82548	555385
1294	82615	555342
1295	82683	555304
1296	82739	555188
1297	82803	555125
1298	82863	555041
1299	82927	554979
1300	82991	554917
1301	83065	554921
1302	83126	554834
1303	83195	554808
1304	83263	554769
1305	83327	554707
1306	83391	554646
1307	83452	554562
1308	83515	554495
1309	83577	554416
1310	83640	554348
1311	83703	554281
1312	83767	554218
1313	83823	554103
1314	83889	554055
1315	83951	553977
1316	84013	553903
1317	84077	553842
1318	84142	553784
1319	84208	553737
1320	84272	553672
1321	84335	553604
1322	84390	553479
1323	84449	553385
1324	84513	553321
1325	84581	553284
1326	84649	553254
1327	84714	553195
1328	84775	553111
1329	84834	553017
1330	84895	552938
1331	84967	552927
1332	85035	552891
1333	85102	552848
1334	85171	552816
1335	85238	552773
1336	85306	552735
1337	85379	552731
1338	85438	552636
1339	85499	552557
1340	85558	552461
1341	85617	552369
1342	85674	552258
1343	85736	552186
1344	85795	552091
1345	85854	551992
1346	85918	551934
1347	85986	551895
1348	86052	551847
1349	86118	551795
1350	86185	551752
1351	86240	551635
1352	86304	551568
1353	86364	551482
1354	86430	551431
1355	86492	551358
1356	86554	551282
1357	86617	551212
1358	86683	551161
1359	86748	551107
1360	86813	551052
1361	86867	550925
1362	86928	550844
1363	86996	550808
1364	87058	550731
1365	87120	550659
1366	87188	550620
1367	87254	550571
1368	87321	550529
1369	87379	550426
1370	87440	550344
1371	87493	550215
1372	87555	550142
1373	87625	550113
1374	87685	550024
1375	87750	549970
1376	87813	549903
1377	87875	549827
1378	87935	549737
1379	87989	549617
1380	88058	549586
1381	88122	549525
1382	88188	549474
1383	88249	549390
1384	88316	549346
1385	88376	549259
1386	88438	549186
1387	88503	549131
1388	88573	549103
1389	88635	549031
1390	88704	548995
1391	88761	548890
1392	88817	548780
1393	88892	548784
1394	88960	548751
1395	89012	548613
1396	89070	548510
1397	89134	548449
1398	89198	548388
1399	89254	548279
1400	89317	548210
1401	89382	548152
1402	89446	548088
1403	89511	548033
1404	89580	548006
1405	89652	547988
1406	89716	547926
1407	89774	547827
1408	89836	547756
1409	89902	547702
1410	89968	547655
1411	90030	547581
1412	90095	547524
1413	90155	547434
1414	90221	547387
1415	90289	547345
1416	90354	547293
1417	90407	547165
1418	90481	547162
1419	90548	547118
1420	90604	547004
1421	90668	546943
1422	90728	546858
1423	90781	546729
1424	90848	546686
1425	90906	546588
1426	90978	546575
1427	91036	546475
1428	91096	546390
1429	91162	546340
1430	91217	546221
1431	91283	546168
1432	91345	546097
1433	91407	546022
1434	91474	545978
1435	91543	545945
1436	91597	545823
1437	91661	545761
1438	91726	545708
1439	91787	545624
1440	91854	545582
1441	91924	545556
1442	91987	545485
1443	92051	545425
1444	92115	545364
1445	92176	545280
1446	92239	545216
1447	92304	545159
1448	92367	545088
1449	92424	544987
1450	92481	544879
1451	92539	544784
1452	92608	544754
1453	92676	544712
1454	92745	544680
1455	92809	544618
1456	92875	544567
1457	92949	544564
1458	93014	544506
1459	93078	544446
1460	93142	544381
1461	93195	544258
1462	93258	544190
1463	93325	544141
1464	93393	544105
1465	93456	544034
1466	93524	543995
1467	93594	543971
1468	93661	543924
1469	93724	543859
1470	93786	543783
1471	93846	543697
1472	93909	543629
1473	93977	543592
1474	94033	543482
1475	94090	543381
1476	94153	543310
1477	94214	543233
1478	94282	543189
1479	94347	543137
1480	94406	543046
1481	94471	542985
1482	94535	542925
1483	94597	542851
1484	94658	542772
1485	94724	542719
1486	94778	542604
1487	94841	542534
1488	94906	542478
1489	94973	542430
1490	95034	542354
1491	95086	542221
1492	95152	542173
1493	95216	542107
1494	95284	542069
1495	95341	541968
1496	95403	541895
1497	95463	541808
1498	95529	541758
1499	95587	541661
1500	95657	541637
1501	95729	541619
1502	95786	541513
1503	95844	541421
1504	95913	541386
1505	95981	541346
1506	96045	541282
1507	96110	541227
1508	96172	541151
1509	96240	541111
1510	96298	541016
1511	96366	540976
1512	96431	540919
1513	96492	540843
1514	96562	540811
1515	96615	540688
1516	96669	540573
1517	96730	540490
1518	96796	540443
1519	96861	540383
1520	96930	540348
1521	97000	540320
1522	97065	540264
1523	97133	540222
1524	97197	540160
1525	97257	540080
1526	97324	540034
1527	97390	539981
1528	97453	539915
1529	97519	539860
1530	97581	539790
1531	97638	539689
1532	97699	539608
1533	97762	539541
1534	97830	539503
1535	97889	539409
1536	97950	539331
1537	98020	539306
1538	98077	539205
1539	98141	539139
1540	98203	539066
1541	98267	539006
1542	98331	538941
1543	98391	538857
1544	98462	538833
1545	98524	538764
1546	98593	538729
1547	98658	538670
1548	98720	538599
1549	98782	538525
1550	98846	538464
1551	98909	538393
1552	98961	538264
1553	99026	538209
1554	99084	538113
1555	99148	538052
1556	99214	538000
1557	99287	537989
1558	99349	537914
1559	99415	537864
1560	99483	537824
1561	99548	537766
1562	99618	537733
1563	99688	537705
1564	99749	537625
1565	99803	537513
1566	99868	537453
1567	99923	537342
1568	99992	537310
1569	100059	537263
1570	100128	537226
1571	100196	537187
1572	100254	537091
1573	100317	537025
1574	100380	536954
1575	100447	536910
1576	100510	536844
1577	100578	536799
1578	100641	536733
1579	100701	536648
1580	100759	536553
1581	100821	536480
1582	100880	536393
1583	100932	536265
1584	100993	536187
1585	101052	536101
1586	101121	536062
1587	101185	536000
1588	101250	535945
1589	101315	535886
1590	101390	535884
1591	101443	535765
1592	101502	535676
1593	101571	535642
1594	101638	535592
1595	101696	535501
1596	101759	535430
1597	101826	535387
1598	101891	535329
1599	101962	535303
1600	102028	535251
1601	102098	535221
1602	102159	535140
1603	102220	535066
1604	102297	535071
1605	102362	535014
1606	102432	534979
1607	102495	534912
1608	102562	534866
1609	102628	534816
1610	102685	534716
1611	102754	534682
1612	102821	534635
1613	102894	534615
1614	102965	534594
1615	103028	534524
1616	103093	534465
1617	103161	534425
1618	103224	534359
1619	103291	534312
1620	103363	534289
1621	103433	534256
1622	103487	534141
1623	103552	534084
1624	103620	534044
1625	103687	533999
1626	103752	533940
1627	103815	533871
1628	103879	533810
1629	103952	533794
1630	104012	533711
1631	104078	533655
1632	104143	533597
1633	104211	533557
1634	104279	533513
1635	104340	533435
1636	104399	533348
1637	104466	533303
1638	104531	533242
1639	104597	533193
1640	104665	533151
1641	104731	533095
1642	104792	533017
1643	104854	532944
1644	104915	532866
1645	104985	532838
1646	105050	532776
1647	105114	532716
1648	105187	532701
1649	105253	532644
1650	105310	532549
1651	105379	532509
1652	105449	532480
1653	105506	532380
1654	105581	532370
1655	105649	532333
1656	105710	532253
1657	105783	532233
1658	105836	532117
1659	105902	532066
1660	105966	532000
1661	106031	531945
